,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
12,2021-08-18,sh.600000,99.6600948000,101.7182924100,99.2267900400,101.0683352700,99.5517686100,43424745,403158874.4200,1,0.147900,1,1.523400,4.590195,0.504340,1.437698,2.669314,0
13,2021-08-19,sh.600000,101.1766614600,101.1766614600,99.5517686100,99.9850733700,101.0683352700,36391371,336172105.1800,1,0.124000,1,-1.071800,4.540997,0.498934,1.422289,2.640704,0
14,2021-08-20,sh.600000,100.2017257500,100.7433567000,99.4434424200,100.4183781300,99.9850733700,35374387,327037545.2100,1,0.120500,1,0.433400,4.560676,0.501097,1.428452,2.652148,0
15,2021-08-23,sh.600000,100.7433567000,100.8516828900,99.6600948000,99.6600948000,100.4183781300,32418942,299502500.6500,1,0.110400,1,-0.755100,4.526237,0.497313,1.417666,2.632121,0
16,2021-08-24,sh.600000,99.8767471800,100.7433567000,99.3351162300,99.7684209900,99.6600948000,40815968,376573365.5300,1,0.139100,1,0.108700,4.531157,0.497853,1.419207,2.634982,0
17,2021-08-25,sh.600000,99.9850733700,100.0933995600,99.2267900400,99.5517686100,99.7684209900,34063999,313176526.9800,1,0.116100,1,-0.217200,4.521317,0.496772,1.416125,2.629260,0
18,2021-08-26,sh.600000,99.4434424200,99.6600948000,98.9018114700,99.0101376600,99.5517686100,29439149,269637951.0500,1,0.100300,1,-0.544100,4.496718,0.494069,1.408420,2.614955,0
19,2021-08-27,sh.600000,99.2267900400,99.8767471800,99.0101376600,99.3351162300,99.0101376600,27618817,253490155.8200,1,0.094100,1,0.328200,4.511478,0.495691,1.413043,2.623538,0
20,2021-08-30,sh.600000,98.0352019500,98.3601805200,96.6269614800,97.0602662400,99.3351162300,80410279,721952836.2000,1,0.274000,1,-2.290100,4.441888,0.487126,1.367332,4.460799,0
21,2021-08-31,sh.600000,97.2769186200,98.0352019500,96.7352876700,98.0352019500,97.0602662400,44633690,401545634.4700,1,0.152100,1,1.004500,4.486505,0.492019,1.381066,4.505606,0
0,2021-08-02,sh.600009,97.6010739000,99.6490114400,94.8791316000,98.4306182200,99.9341673000,26404703,989631413.9300,1,2.414700,1,-1.504500,-41.020608,2.542357,20.706402,51.918385,0
1,2021-08-03,sh.600009,96.7456063200,100.3489394600,96.0975248200,99.1823927600,98.4306182200,16167581,616795281.9500,1,1.478500,1,0.763800,-41.333908,2.561774,20.864549,52.314917,0
2,2021-08-04,sh.600009,99.1305462400,100.0378603400,97.9899228000,98.0936158400,99.1823927600,13405390,510443206.5000,1,1.225900,1,-1.097800,-40.880164,2.533652,20.635508,51.740629,0
3,2021-08-05,sh.600009,97.8084599800,100.5563255400,96.8233761000,98.1713856200,98.0936158400,14876113,567507526.2400,1,1.360400,1,0.079300,-40.912574,2.535661,20.651868,51.781650,0
4,2021-08-06,sh.600009,98.2491554000,98.7676206000,96.8492993600,97.2640715200,98.1713856200,9449697,355765510.1000,1,0.864200,1,-0.924200,-40.534454,2.512226,20.461001,51.303076,0
5,2021-08-09,sh.600009,96.5382202400,100.4785557600,96.1493713400,99.8563975200,97.2640715200,13602743,519982737.9200,1,1.244000,1,2.665200,-41.614797,2.579183,21.006336,52.670429,0
6,2021-08-10,sh.600009,100.0119370800,100.5304022800,98.7676206000,100.3489394600,99.8563975200,11100152,427051525.6600,1,1.015100,1,0.493300,-41.820062,2.591905,21.109950,52.930226,0
7,2021-08-11,sh.600009,100.3230162000,104.4966610600,100.0637836000,101.0747907400,100.3489394600,18888084,743105673.2400,1,1.727300,1,0.723300,-42.122558,2.610653,21.262644,53.313085,0
8,2021-08-12,sh.600009,101.5673326800,101.7747187600,98.8453903800,99.1046229800,101.0747907400,11465863,440496078.5100,1,1.048600,1,-1.949200,-41.301497,2.559766,20.848189,52.273897,0
9,2021-08-13,sh.600009,98.6639275600,99.7527044800,97.9899228000,99.0268532000,99.1046229800,7370335,280924037.1800,1,0.674000,1,-0.078500,-41.269087,2.557757,20.831829,52.232876,0
10,2021-08-16,sh.600009,98.5861577800,100.8414814000,98.2491554000,99.7527044800,99.0268532000,7873092,302008836.3700,1,0.720000,1,0.733000,-41.571583,2.576505,20.984523,52.615735,0
11,2021-08-17,sh.600009,100.1156301200,104.6522006200,99.6490114400,102.3450304800,99.7527044800,28816412,1145075854.5600,1,2.635300,1,2.598800,-42.651925,2.643462,21.529859,53.983088,0
12,2021-08-18,sh.600009,101.1266372600,104.1078121600,100.0637836000,104.0300423800,102.3450304800,18620953,737889300.7800,1,1.702900,1,1.646400,-43.354148,2.686984,21.884327,54.871867,0
13,2021-08-19,sh.600009,102.7079561200,103.9263493400,102.1376444000,103.3301143600,104.0300423800,11174473,443856295.6000,1,1.021900,1,-0.672800,-43.062456,2.668906,21.737086,54.502682,0
14,2021-08-20,sh.600009,102.9153422000,102.9153422000,100.2970929400,101.1007140000,103.3301143600,12251675,478261143.7400,1,1.120400,1,-2.157600,-42.133361,2.611323,21.268098,53.326758,0
15,2021-08-23,sh.600009,99.8304742600,101.7747187600,99.8045510000,100.8674046600,101.1007140000,7522430,292634881.6900,1,0.687900,1,-0.230800,-42.036130,2.605296,21.219017,53.203696,0
16,2021-08-24,sh.600009,100.7377883600,101.8524885400,100.1933999000,101.1007140000,100.8674046600,10207291,397205765.8400,1,0.933500,1,0.231300,-42.133361,2.611323,21.268098,53.326758,0
17,2021-08-25,sh.600009,101.1007140000,110.4330876000,100.7118651000,108.6443826600,101.1007140000,38097783,1571371771.7800,1,3.484100,1,7.461500,-45.277158,2.806167,22.855025,57.305755,0
18,2021-08-26,sh.600009,108.0222244200,109.7331595800,105.0669727800,109.6035432800,108.6443826600,25763407,1062060464.2000,1,2.356100,1,0.882800,-45.676885,2.830942,23.056799,57.811675,0
19,2021-08-27,sh.600009,108.2814570200,110.8219365000,107.2963731400,107.2963731400,109.6035432800,15177241,635755253.8500,1,1.388000,1,-2.105000,-44.715380,2.771350,22.571450,56.594731,0
20,2021-08-30,sh.600009,105.6113612400,106.0002101400,103.6930400000,104.2892749800,107.2963731400,14650899,591656441.6400,1,1.339800,1,-2.802600,-47.806095,2.722465,21.313590,62.875796,0
21,2021-08-31,sh.600009,103.6930400000,112.7661810000,103.5893469600,112.1699460200,104.2892749800,31137271,1313764956.7400,1,2.847500,1,7.556500,-51.418587,2.928190,22.924162,67.627037,0
0,2021-08-02,sh.600010,20.1134920000,20.4008276000,18.8204818000,19.3233191000,20.4726615000,2439509792,6634730642.1600,1,7.701200,1,-5.614000,83.747109,2.285595,1.929346,57.755131,0
1,2021-08-03,sh.600010,18.8923157000,19.2514852000,17.4556377000,17.9584750000,19.3233191000,1972838672,5010697872.9800,1,6.227900,1,-7.063200,77.831885,2.124159,1.793073,53.675772,0
2,2021-08-04,sh.600010,17.8148072000,19.7543225000,17.6711394000,19.7543225000,17.9584750000,2487864944,6664604352.8200,1,7.853800,1,10.000000,85.615074,2.336575,1.972380,59.043350,0
3,2021-08-05,sh.600010,19.3951530000,19.8979903000,18.3894784000,19.5388208000,19.7543225000,2255900240,6013052900.0700,1,7.121500,1,-1.090900,84.681091,2.311085,1.950863,58.399240,0
4,2021-08-06,sh.600010,19.3951530000,20.6163293000,19.3233191000,19.8979903000,19.5388208000,1898017120,5301526111.9900,1,5.991700,1,1.838200,86.237729,2.353568,1.986724,59.472756,0
5,2021-08-09,sh.600010,19.3951530000,19.8261564000,18.8923157000,19.5388208000,19.8979903000,1480964320,3985547210.7800,1,4.675200,1,-1.805100,84.681091,2.311085,1.950863,58.399240,0
6,2021-08-10,sh.600010,19.1796513000,19.7543225000,18.7486479000,19.2514852000,19.5388208000,1255414352,3357013834.1700,1,3.963100,1,-1.470600,83.435781,2.277099,1.922174,57.540428,0
7,2021-08-11,sh.600010,19.0359835000,19.8261564000,18.6768140000,19.2514852000,19.2514852000,1447899888,3874545472.5000,1,4.570800,1,0.000000,83.435781,2.277099,1.922174,57.540428,0
8,2021-08-12,sh.600010,19.1796513000,20.8318310000,18.7486479000,20.0416581000,19.2514852000,1831850272,5071817862.9200,1,5.782900,1,4.104500,86.860384,2.370562,2.001069,59.902162,0
9,2021-08-13,sh.600010,19.7543225000,20.6881632000,19.3951530000,19.9698242000,20.0416581000,1675337952,4680271663.4100,1,5.288800,1,-0.358400,86.549057,2.362065,1.993897,59.687459,0
10,2021-08-16,sh.600010,19.4669869000,20.1134920000,18.9641496000,19.1796513000,19.9698242000,1619070288,4384893953.7800,1,5.111200,1,-3.956800,83.124454,2.268602,1.915001,57.325725,0
11,2021-08-17,sh.600010,19.1796513000,19.6824886000,18.8204818000,18.9641496000,19.1796513000,1213697248,3249503577.3000,1,3.831500,1,-1.123600,82.190471,2.243112,1.893485,56.681616,0
12,2021-08-18,sh.600010,18.8204818000,19.1796513000,18.6049801000,18.8204818000,18.9641496000,966346880,2536453151.1800,1,3.050600,1,-0.757600,81.567816,2.226119,1.879140,56.252209,0
13,2021-08-19,sh.600010,18.6049801000,18.8923157000,17.9584750000,18.3894784000,18.8204818000,1255056096,3196886072.9400,1,3.962000,1,-2.290100,79.699851,2.175139,1.836106,54.963991,0
14,2021-08-20,sh.600010,18.1739767000,18.7486479000,17.8866411000,18.7486479000,18.3894784000,1026901504,2626911984.9200,1,3.241800,1,1.953100,81.256488,2.217622,1.871968,56.037506,0
15,2021-08-23,sh.600010,18.8923157000,19.8261564000,18.6049801000,19.5388208000,18.7486479000,1545918032,4136451973.1500,1,4.880200,1,4.214600,84.681091,2.311085,1.950863,58.399240,0
16,2021-08-24,sh.600010,19.4669869000,21.4783361000,19.3233191000,21.4783361000,19.5388208000,2742817232,7963098400.9300,1,8.658600,1,9.926500,93.086935,2.540494,2.144515,64.196224,0
17,2021-08-25,sh.600010,21.9093395000,22.5558446000,21.2628344000,21.9811734000,21.4783361000,2408561312,7339835871.8000,1,7.603500,1,2.341100,95.266228,2.599971,2.194721,65.699145,0
18,2021-08-26,sh.600010,21.9811734000,24.2080243000,21.9093395000,23.7770209000,21.9811734000,2446628960,7895982036.5000,1,7.723600,1,8.169900,103.049416,2.812387,2.374028,71.066723,0
